,p2psockets,p2psockets-core,1.1.2,2005-09-20 05:50     28926,,https://repo1.maven.org/maven2/p2psockets/p2psockets-core/1.1.2/p2psockets-core-1.1.2.jar
,p6spy,p6spy,3.9.1,2020-07-26 19:55    128891,,https://repo1.maven.org/maven2/p6spy/p6spy/3.9.1/p6spy-3.9.1.jar
,p6spy,p6spy,3.9.1,2020-07-26 19:55    918499,,https://repo1.maven.org/maven2/p6spy/p6spy/3.9.1/p6spy-3.9.1-logback-nodep.jar
,p6spy,p6spy,3.9.1,2020-07-26 19:55   2026835,,https://repo1.maven.org/maven2/p6spy/p6spy/3.9.1/p6spy-3.9.1-log4j2-nodep.jar
,p6spy,p6spy,3.9.1,2020-07-26 19:55    652515,,https://repo1.maven.org/maven2/p6spy/p6spy/3.9.1/p6spy-3.9.1-log4j-nodep.jar
,p6spy,p6spy,3.9.1,2020-07-26 19:55    128891,,https://repo1.maven.org/maven2/p6spy/p6spy/3.9.1/p6spy-3.9.1-all.jar
,p6spy,p6spy,3.9.0,2020-04-04 06:02    125986,,https://repo1.maven.org/maven2/p6spy/p6spy/3.9.0/p6spy-3.9.0.jar
,p6spy,p6spy,3.9.0,2020-04-04 06:02    915594,,https://repo1.maven.org/maven2/p6spy/p6spy/3.9.0/p6spy-3.9.0-logback-nodep.jar
,p6spy,p6spy,3.9.0,2020-04-04 06:02   2023930,,https://repo1.maven.org/maven2/p6spy/p6spy/3.9.0/p6spy-3.9.0-log4j2-nodep.jar
,p6spy,p6spy,3.9.0,2020-04-04 06:02    649610,,https://repo1.maven.org/maven2/p6spy/p6spy/3.9.0/p6spy-3.9.0-log4j-nodep.jar
,p6spy,p6spy,3.8.7,2019-12-23 21:03    125763,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.7/p6spy-3.8.7.jar
,p6spy,p6spy,3.8.7,2019-12-23 21:03    915371,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.7/p6spy-3.8.7-logback-nodep.jar
,p6spy,p6spy,3.8.7,2019-12-23 21:03   2023707,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.7/p6spy-3.8.7-log4j2-nodep.jar
,p6spy,p6spy,3.8.7,2019-12-23 21:03    649387,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.7/p6spy-3.8.7-log4j-nodep.jar
,p6spy,p6spy,3.8.6,2019-09-24 14:23    125485,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.6/p6spy-3.8.6.jar
,p6spy,p6spy,3.8.6,2019-09-24 14:23    915093,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.6/p6spy-3.8.6-logback-nodep.jar
,p6spy,p6spy,3.8.6,2019-09-24 14:23   2023429,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.6/p6spy-3.8.6-log4j2-nodep.jar
,p6spy,p6spy,3.8.6,2019-09-24 14:23    649109,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.6/p6spy-3.8.6-log4j-nodep.jar
,p6spy,p6spy,3.8.5,2019-08-07 05:48    125447,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.5/p6spy-3.8.5.jar
,p6spy,p6spy,3.8.5,2019-08-07 05:48    915055,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.5/p6spy-3.8.5-logback-nodep.jar
,p6spy,p6spy,3.8.5,2019-08-07 05:48   2023391,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.5/p6spy-3.8.5-log4j2-nodep.jar
,p6spy,p6spy,3.8.5,2019-08-07 05:48    649071,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.5/p6spy-3.8.5-log4j-nodep.jar
,p6spy,p6spy,3.8.4,2019-08-04 13:37    125413,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.4/p6spy-3.8.4.jar
,p6spy,p6spy,3.8.4,2019-08-04 13:37    915021,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.4/p6spy-3.8.4-logback-nodep.jar
,p6spy,p6spy,3.8.4,2019-08-04 13:37   2023357,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.4/p6spy-3.8.4-log4j2-nodep.jar
,p6spy,p6spy,3.8.4,2019-08-04 13:37    649037,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.4/p6spy-3.8.4-log4j-nodep.jar
,p6spy,p6spy,3.8.3,2019-07-21 17:33    125328,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.3/p6spy-3.8.3.jar
,p6spy,p6spy,3.8.3,2019-07-21 17:33    914966,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.3/p6spy-3.8.3-logback-nodep.jar
,p6spy,p6spy,3.8.3,2019-07-21 17:33   2023302,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.3/p6spy-3.8.3-log4j2-nodep.jar
,p6spy,p6spy,3.8.3,2019-07-21 17:33    648982,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.3/p6spy-3.8.3-log4j-nodep.jar
,p6spy,p6spy,3.8.2,2019-04-07 06:15    124902,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.2/p6spy-3.8.2.jar
,p6spy,p6spy,3.8.2,2019-04-07 06:15    914540,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.2/p6spy-3.8.2-logback-nodep.jar
,p6spy,p6spy,3.8.2,2019-04-07 06:15   2022876,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.2/p6spy-3.8.2-log4j2-nodep.jar
,p6spy,p6spy,3.8.2,2019-04-07 06:15    648556,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.2/p6spy-3.8.2-log4j-nodep.jar
,p6spy,p6spy,3.8.1,2018-12-14 07:31    124893,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.1/p6spy-3.8.1.jar
,p6spy,p6spy,3.8.1,2018-12-14 07:31    914531,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.1/p6spy-3.8.1-logback-nodep.jar
,p6spy,p6spy,3.8.1,2018-12-14 07:31   2022867,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.1/p6spy-3.8.1-log4j2-nodep.jar
,p6spy,p6spy,3.8.1,2018-12-14 07:31    648547,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.1/p6spy-3.8.1-log4j-nodep.jar
,p6spy,p6spy,3.8.0,2018-10-15 18:18    124690,,https://repo1.maven.org/maven2/p6spy/p6spy/3.8.0/p6spy-3.8.0.jar
